facility_id,avg_temp_c,humidity_pct,rainfall_mm,heat_exposure_index,weather_variability_index,wind_exposure_index
FAC-001,34.2,68,18.4,0.78,0.61,0.42
FAC-002,31.0,61,9.2,0.61,0.45,0.39
FAC-003,36.1,73,24.8,0.86,0.69,0.55
FAC-004,32.4,66,14.1,0.69,0.52,0.44
FAC-005,35.2,70,20.5,0.81,0.63,0.48
FAC-006,29.8,58,7.5,0.52,0.41,0.31
FAC-007,37.0,76,28.2,0.91,0.75,0.59
FAC-008,30.7,59,8.4,0.57,0.42,0.37
FAC-009,38.2,79,31.1,0.95,0.83,0.62
FAC-010,33.1,65,13.0,0.67,0.49,0.40
FAC-011,34.7,69,19.2,0.76,0.58,0.46
FAC-012,30.1,57,6.8,0.49,0.38,0.30
