facility_id,check_date,checks_due,checks_completed,equipment_issue_index,protective_equipment_readiness,goal_post_check_index,lighting_equipment_index,maintenance_backlog_index
FAC-001,2026-08-28,18,14,0.52,0.81,0.76,0.84,0.39
FAC-002,2026-08-30,16,16,0.28,0.93,0.92,0.90,0.18
FAC-003,2026-08-25,20,15,0.61,0.72,0.68,0.75,0.54
FAC-004,2026-08-29,15,14,0.33,0.89,0.87,0.88,0.21
FAC-005,2026-08-27,17,14,0.47,0.82,0.80,0.86,0.35
FAC-006,2026-08-31,19,19,0.22,0.95,0.94,0.92,0.14
FAC-007,2026-08-23,18,11,0.66,0.68,0.64,0.70,0.60
FAC-008,2026-08-30,14,13,0.31,0.92,0.90,0.91,0.19
FAC-009,2026-08-21,22,14,0.74,0.63,0.58,0.68,0.67
FAC-010,2026-08-28,16,15,0.36,0.87,0.85,0.89,0.23
FAC-011,2026-08-27,18,15,0.45,0.83,0.79,0.87,0.32
FAC-012,2026-08-30,20,19,0.25,0.94,0.93,0.93,0.15
